F010029;F010030;F041699;F041799;F041803;F041899;F050799;F051699;F050899;F051799;F080099;F090024;F090036;F090099
43303;43303;31568;226776;0;21034;75;2;1349114;48000;3423587;31568;1397114;3379762
43309;42102;675;44325;0;0;3;0;25200;0;90000;675;25200;84600
43907;43907;57143;242714;0;6130;7;2;79075;0;233717;57143;79075;332764
43303;43303;8565;27227;0;28308;48;1;1401495;28602;2590756;8565;1430097;2383496
42202;42202;2254909;43880864;0;100620;64;7;3052600;226841;75134435;2254909;3279441;61989498
43216;43216;25675;152280;34800;34800;5;0;119364;0;586990;25675;119364;512238
42203;42203;5500;38501;0;0;8;1;131700;0;522040;5500;131700;481763
42102;42102;3610;877722;6600;8172;8;4;56481;43200;894777;3610;99681;821322
41002;43224;1771;32488;0;24000;10;2;127500;31200;843093;1771;158700;656849
43211;43211;12608;469836;3960;3960;9;2;200626;21297;791458;12608;221923;521326
43303;43303;7206;271245;0;8648;3;1;46992;37008;432362;7206;84000;327594
43122;43122;13652;33107;0;0;5;1;101945;30000;309334;13652;131945;265860
43225;43225;1443;6877;0;0;2;0;3654;0;35366;1443;3654;33083
41001;41001;71144;768253;0;0;22;6;533760;90240;10803691;71144;624000;9701715
42105;42105;379332;2078829;85296;181296;27;5;1729507;172200;7150089;379332;1901707;8716106
41001;41001;1144249;4916480;0;388973;127;18;4312890;889170;25822626;1144249;5202060;29257726
41002;41002;12737;72173;0;33600;3;2;131712;60168;2140968;12737;191880;1891551
43901;42909;1140782;12473995;241439;241439;119;16;5318300;725223;84517041;1140782;6043523;83921359
41001;41001;59909;2105231;0;17086;18;4;543324;140808;4639132;59909;684132;4397176
42909;42902;334822;586606;19056007;19056007;45;7;6040565;464873;59634951;334822;6505438;52101677
42102;42102;395612;1180148;0;0;350;7;7713486;362712;37624644;395612;8076198;36124803
41002;41001;6963002;197788815;0;3482848;2179;74;80802939;6826540;514919829;6963002;87629479;521007867
43123;43123;4229971;121062932;0;0;83;10;4407011;273600;50535901;4229971;4680611;44234867
43904;43904;247550;8338120;0;0;220;30;5061892;904320;58227110;247550;5966212;49221211
41001;41001;513140;27427219;0;0;79;6;3152980;311833;62768354;513140;3464813;57746886
41002;41002;640892;12189507;0;532800;33;8;2099953;524989;22551052;640892;2624942;21874520
43229;43211;32371;539521;0;81360;25;4;964373;159408;4439683;32371;1123781;4240941
41001;41001;458739;5968500;0;0;27;8;668040;265200;7609762;458739;933240;6989762
41001;41001;275250;3294523;0;0;332;28;6851508;924516;32591029;275250;7776024;27897041
41001;43221;1871753;19696191;496785;496785;100;12;4225176;540164;132100723;1871753;4765340;128137702
43301;43301;927183;11519717;0;371376;52;24;2392116;1085400;16367481;927183;3477516;15805639
42909;41001;2740147;17661641;0;1084025;178;14;12079017;1342113;312903392;2740147;13421130;279606743
42909;42909;443621;3382556;187600;200040;41;26;2217386;1307280;56333445;443621;3524666;53752709
41002;43211;827128;5920453;0;0;15;26;1130964;1387368;21597479;827128;2518332;20211636
43126;43126;427066;6902405;60000;103920;6;2;233784;97752;14224509;427066;331536;12599495
42101;42209;8750;846946;0;16989;1;3;23619;85348;1267681;8750;108967;1203623
41002;41002;2064437;131987561;0;0;33;14;1468279;598845;35218668;2064437;2067124;22210922
43307;42909;2790760;5713191;0;0;87;6;2281310;516264;21626981;2790760;2797574;21403956
41001;41002;213847;6253237;0;419917;80;8;2620588;408618;15500100;213847;3029206;13998155
43211;43211;241203;3663984;0;0;37;2;1206121;283777;8213923;241203;1489898;7184558
43219;42909;355527;1753220;0;1657989;27;6;1544604;413568;14192670;355527;1958172;13713070
